assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,5,261,100,0,3,83299,0,0,0,0,38.6,1,0,2,0.7,0.0,0,Lewis,0.7,23,2,56.6,48,False,397.8,0,0,0,0,1441,,2018-12-22T17:01:17Z,45,0,0,0,83299.jpg,2.8,1,0,Dunk,3.4,False,5,a,3,36,128.0,47,274362,41,244097,11218,0.2,10.4,Dunk,3
2,5,274,100,100,3,61933,0,0,1,-1,47.7,2,0,2,1.7,1.2,2,Shane,1.7,22,3,70.9,49,False,505.4,0,0,0,0,1377,,2018-12-04T22:01:16Z,46,0,0,0,61933.jpg,3.6,1,0,Duffy,4.1,False,4,a,3,36,155.0,58,445835,1158,392419,2924,0.4,12.6,Duffy,3
1,4,132,100,100,3,11352,0,0,-1,1,65.3,1,0,2,0.5,0.0,0,Bruno,0.5,6,0,18.4,50,False,104.4,0,0,0,0,619,,2018-12-01T17:31:14Z,44,0,0,0,11352.jpg,3.9,0,0,Saltor Grau,0.5,False,2,a,3,36,14.0,31,49578,36,40131,772,0.1,7.0,Bruno,2
0,0,158,100,100,3,42748,0,0,-1,1,58.9,0,0,2,0.2,-0.3,0,Gaëtan,0.2,19,0,18.6,51,False,128.6,0,0,0,0,1068,,2018-10-20T13:01:16Z,44,0,0,0,42748.jpg,2.2,0,0,Bong,0.2,False,3,a,3,36,0.0,29,6952,13,9200,83,0.0,6.6,Bong,0
0,0,0,None,None,0,43808,0,0,-2,2,0.0,0,0,2,0.0,-0.5,0,Markus,0.0,0,0,0.0,52,False,0.0,0,0,0,0,0,,None,38,0,0,0,43808.jpg,0.0,0,0,Suttner,5.0,False,29,a,3,36,0.0,0,79305,1210,248671,1615,0.0,0.0,Suttner,0
0,0,0,None,None,0,74375,0,0,-2,2,0.0,0,0,2,0.0,-0.5,0,Ezequiel,0.0,0,0,0.0,53,False,0.0,0,0,0,0,0,,None,38,0,0,0,74375.jpg,0.0,0,0,Schelotto,1.7,False,21,a,3,36,0.0,0,40613,975,80645,730,0.0,0.0,Schelotto,0
0,0,86,None,None,0,52484,0,0,-3,3,1.1,1,0,2,2.2,1.7,2,Leon,2.2,10,1,16.1,54,False,133.0,0,0,0,0,591,,None,42,0,0,0,52484.jpg,1.9,0,0,Balogun,0.2,False,14,a,3,36,27.0,15,8209,133,9368,147,0.5,3.6,Balogun,2
4,1,176,None,None,2,83543,-1,1,-2,2,291.3,0,0,3,1.2,0.7,1,Anthony,1.2,21,1,74.1,55,False,240.2,0,0,0,0,1084,,None,53,0,0,0,83543.jpg,2.7,0,0,Knockaert,0.6,False,11,a,3,36,210.0,46,145084,49,142528,729,0.2,8.5,Knockaert,3
0,0,125,100,100,2,40845,0,0,-1,1,60.3,0,0,3,0.8,0.3,2,Dale,0.8,17,0,23.1,56,False,160.0,0,0,0,0,964,,2018-11-10T15:01:14Z,44,0,0,0,40845.jpg,1.5,1,0,Stephens,3.5,False,6,a,3,36,11.0,19,57415,183,420912,1394,0.2,4.3,Stephens,3
1,0,104,None,None,3,38490,0,0,-1,1,52.9,0,0,3,0.2,-0.3,0,Beram,0.2,11,1,28.1,57,False,180.6,0,0,0,0,688,,None,44,0,0,0,38490.jpg,2.5,0,0,Kayal,0.7,False,7,a,3,36,47.0,25,88183,55,57198,1005,0.0,5.7,Kayal,4
