id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
261,Claudio,Bravo,13,43,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
262,John,Stones,13,43,2,0,0,42,1073,12,84.2,222.6,28.0,5,242,33.5,4,0,1,5.7,53
263,Vincent,Kompany,13,43,2,0,0,19,376,2,23.8,109.0,12.0,2,98,14.6,2,0,2,1.2,52
264,Nicolás,Otamendi,13,43,2,0,0,29,596,5,23.8,137.6,52.0,0,161,21.3,4,0,0,2.5,61
265,Kyle,Walker,13,43,2,1,0,66,1350,11,179.8,250.8,84.0,4,313,51.5,7,0,0,12.5,65
266,Danilo Luiz,da Silva,13,43,2,0,0,3,180,3,12.0,35.4,49.0,0,28,9.6,0,0,0,0.3,51
267,Benjamin,Mendy,13,43,2,0,6,57,810,5,213.3,231.2,63.0,6,250,50.6,4,0,1,6.9,62
268,Aymeric,Laporte,13,43,2,1,0,72,1621,14,128.3,365.2,164.0,1,362,66.0,8,0,1,14.4,60
269,Fabian,Delph,13,43,2,0,1,28,712,9,96.6,153.4,24.0,2,183,27.3,3,1,1,0.7,53
270,Raheem,Sterling,13,43,3,9,7,116,1293,12,486.5,558.2,785.0,13,392,183.2,7,0,1,15.8,114
271,David,Silva,13,43,3,5,2,73,1094,7,574.0,381.8,583.0,8,322,154.1,7,0,1,3.7,85
272,Fernando,Luiz Rosa,13,43,3,1,3,58,1501,10,239.1,375.6,141.0,4,316,75.8,8,0,2,4.2,54
273,Kevin,De Bruyne,13,43,3,1,0,13,193,1,83.6,67.6,37.0,2,59,18.8,0,0,1,4.3,97
274,Ilkay,Gündogan,13,43,3,4,2,60,834,11,333.6,269.2,261.0,8,251,86.3,3,0,0,2.6,54
275,Leroy,Sané,13,43,3,6,9,96,1069,10,448.6,449.0,685.0,7,326,158.4,5,0,1,14.5,96
276,Bernardo Mota,Veiga de Carvalho e Silva,13,43,3,5,4,84,1488,14,524.6,433.0,492.0,9,351,145.1,6,0,2,6.6,75
277,Phil,Foden,13,43,3,0,0,8,92,0,63.6,18.6,69.0,0,34,15.1,0,0,0,0.1,46
